State,State_Full,City,share_white,share_black,share_native_american,share_asian,share_hispanic,Population
AL,Alabama,Magnolia Springs town,96.3,0.1,0.6,0.4,2.8,752.0
AL,Alabama,Malcolm CDP,40.1,57.2,0.5,0.5,0.0,168.0
AL,Alabama,Malvern town,91.2,4.8,0.7,0.1,4.8,1816.0
AL,Alabama,Maplesville town,68.9,28.5,0.1,0.0,1.1,815.0
AL,Alabama,Marbury CDP,92.2,3.8,0.1,0.0,3.8,1419.0
AL,Alabama,Margaret town,77.3,19.3,0.3,0.8,1.6,4487.0
AL,Alabama,Marion city,34.3,64.1,0.2,0.6,1.9,3551.0
AL,Alabama,Maytown town,89.4,9.6,0.3,0.0,0.0,359.0
AL,Alabama,Meadowbrook CDP,92.8,3.9,0.1,2.1,1.6,8752.0
AL,Alabama,Megargel CDP,91.9,3.2,3.2,0.0,0.0,64.0
AL,Alabama,Memphis town,0.0,100.0,0.0,0.0,0.0,38.0
AL,Alabama,Mentone town,92.2,1.9,1.4,0.0,0.6,390.0
AL,Alabama,Meridianville CDP,76.3,18.5,0.7,1.7,2.7,6270.0
AL,Alabama,Midfield city,16.4,81.6,0.1,0.2,1.4,5284.0
AL,Alabama,Midland City town,70.4,23.3,0.5,0.4,4.1,2151.0
AL,Alabama,Midway town,10.6,89.0,0.0,0.0,0.6,583.0
AL,Alabama,Mignon CDP,64.9,27.1,0.1,0.5,6.9,1088.0
AL,Alabama,Millbrook city,74.2,21.6,0.4,0.8,2.8,14983.0
AL,Alabama,Millerville CDP,91.7,7.6,0.0,0.7,0.0,216.0
AL,Alabama,Millport town,64.7,33.7,0.1,0.0,1.0,1070.0
AL,Alabama,Millry town,60.4,37.9,0.5,0.2,0.4,565.0
